,DateTime,Value_x,Value_y
0,2019-02-25 21:55:01,2561059.0,16880582.0
1,2019-02-25 22:00:00,2561064.0,16880648.0
2,2019-02-25 22:05:00,2561069.25,16880712.0
3,2019-02-25 22:10:00,2561074.25,16880778.0
4,2019-02-25 22:15:00,2561079.25,16880828.0
5,2019-02-25 22:20:00,2561083.75,16880886.0
6,2019-02-25 22:25:00,2561088.25,16880950.0
7,2019-02-25 22:30:00,2561093.0,16881014.0
8,2019-02-25 22:35:00,2561097.5,16881080.0
9,2019-02-25 22:40:00,2561101.75,16881144.0
10,2019-02-25 22:45:00,2561106.25,16881208.0
11,2019-02-25 22:50:00,2561110.5,16881270.0
12,2019-02-25 22:55:00,2561114.75,16881332.0
13,2019-02-25 23:00:00,2561119.0,16881394.0
14,2019-02-25 23:05:00,2561123.25,16881454.0
15,2019-02-25 23:10:00,2561127.25,16881512.0
16,2019-02-25 23:15:00,2561131.25,16881568.0
17,2019-02-25 23:20:00,2561135.5,16881624.0
18,2019-02-25 23:25:02,2561139.5,16881680.0
19,2019-02-25 23:30:00,2561143.0,16881736.0
20,2019-02-25 23:35:00,2561146.75,16881792.0
21,2019-02-25 23:40:00,2561150.25,16881846.0
22,2019-02-25 23:45:00,2561154.0,16881902.0
23,2019-02-25 23:50:00,2561157.25,16881954.0
24,2019-02-25 23:55:00,2561160.75,16882006.0
25,2019-02-25 21:59:01,,
26,2019-02-25 22:01:00,,
27,2019-02-25 22:02:01,,
28,2019-02-25 22:03:00,,
29,2019-02-25 22:04:00,,
30,2019-02-25 22:06:00,,
31,2019-02-25 22:07:00,,
32,2019-02-25 22:08:00,,
33,2019-02-25 22:09:00,,
34,2019-02-25 22:11:00,,
35,2019-02-25 22:12:00,,
36,2019-02-25 22:13:00,,
37,2019-02-25 22:14:00,,
38,2019-02-25 22:16:00,,
39,2019-02-25 22:17:00,,
40,2019-02-25 22:18:00,,
41,2019-02-25 22:19:00,,
42,2019-02-25 22:21:00,,
43,2019-02-25 22:22:00,,
44,2019-02-25 22:23:00,,
45,2019-02-25 22:24:00,,
46,2019-02-25 22:26:00,,
47,2019-02-25 22:27:00,,
48,2019-02-25 22:28:00,,
49,2019-02-25 22:29:00,,
50,2019-02-25 22:31:00,,
51,2019-02-25 22:32:00,,
52,2019-02-25 22:33:00,,
53,2019-02-25 22:34:00,,
54,2019-02-25 22:36:00,,
55,2019-02-25 22:37:00,,
56,2019-02-25 22:38:00,,
57,2019-02-25 22:39:00,,
58,2019-02-25 22:41:00,,
59,2019-02-25 22:42:00,,
60,2019-02-25 22:43:00,,
61,2019-02-25 22:44:00,,
62,2019-02-25 22:46:00,,
63,2019-02-25 22:47:00,,
64,2019-02-25 22:48:00,,
65,2019-02-25 22:49:00,,
66,2019-02-25 22:51:00,,
67,2019-02-25 22:52:00,,
68,2019-02-25 22:53:00,,
69,2019-02-25 22:54:00,,
70,2019-02-25 22:56:00,,
71,2019-02-25 22:57:00,,
72,2019-02-25 22:58:00,,
73,2019-02-25 22:59:00,,
74,2019-02-25 23:01:00,,
75,2019-02-25 23:02:00,,
76,2019-02-25 23:03:00,,
77,2019-02-25 23:04:00,,
78,2019-02-25 23:06:00,,
79,2019-02-25 23:07:00,,
80,2019-02-25 23:08:00,,
81,2019-02-25 23:09:00,,
82,2019-02-25 23:11:00,,
83,2019-02-25 23:12:00,,
84,2019-02-25 23:13:00,,
85,2019-02-25 23:14:00,,
86,2019-02-25 23:16:00,,
87,2019-02-25 23:17:00,,
88,2019-02-25 23:18:00,,
89,2019-02-25 23:19:00,,
90,2019-02-25 23:21:00,,
91,2019-02-25 23:22:00,,
92,2019-02-25 23:23:00,,
93,2019-02-25 23:24:00,,
94,2019-02-25 23:26:00,,
95,2019-02-25 23:27:00,,
96,2019-02-25 23:28:00,,
97,2019-02-25 23:29:00,,
98,2019-02-25 23:31:00,,
99,2019-02-25 23:32:00,,
100,2019-02-25 23:33:00,,
101,2019-02-25 23:34:00,,
102,2019-02-25 23:36:00,,
103,2019-02-25 23:37:00,,
104,2019-02-25 23:38:00,,
105,2019-02-25 23:39:00,,
106,2019-02-25 23:41:00,,
107,2019-02-25 23:42:00,,
108,2019-02-25 23:43:00,,
109,2019-02-25 23:44:00,,
110,2019-02-25 23:46:00,,
111,2019-02-25 23:47:00,,
112,2019-02-25 23:48:00,,
113,2019-02-25 23:49:00,,
114,2019-02-25 23:51:00,,
115,2019-02-25 23:52:00,,
116,2019-02-25 23:53:00,,
117,2019-02-25 23:54:00,,
118,2019-02-25 23:56:00,,
119,2019-02-25 23:57:00,,
120,2019-02-25 23:58:00,,
121,2019-02-25 23:59:00,,
122,2019-02-25 21:59:00,,
123,2019-02-25 22:02:00,,
124,2019-02-25 21:55:02,,
125,2019-02-25 23:25:00,,
126,2019-02-25 13:55:22,,
127,2019-02-25 22:10:06,,
128,2019-02-25 23:50:01,,
